dimension,learning_rate,x_inicial,y_inicial,x_final,y_final,f_final,iteraciones,convergido
1D,0.001,-2.0,,-0.3502580686891125,,16.224229126816503,200,False
1D,0.01,-2.0,,2.9120602669713924,,5.0077333966451425,200,False
1D,0.1,-2.0,,2.9999960768114153,,5.000000000015391,63,True
1D,0.5,-2.0,,3.0,,5.0,2,True
1D,0.9,-2.0,,3.0000004212491667,,5.000000000000178,73,True
1D,1.0,-2.0,,-2.0,,30.0,200,False
1D,1.5,-2.0,,-8.034690221294951e+60,,6.4556246952172715e+121,200,False
2D,0.001,-1.0,4.0,-0.010154841213468286,3.010154841213468,8.081444971307889,200,False
2D,0.01,-1.0,4.0,1.947236160182835,1.052763839817165,0.005568045584503523,200,False
2D,0.1,-1.0,4.0,1.9999997472505,1.0000002527495,1.2789769243681803e-13,73,True
2D,0.5,-1.0,4.0,2.0,1.0,0.0,2,True
2D,0.001,5.0,-1.0,4.010154841213467,-0.34010322747564575,5.836599145944581,200,False
2D,0.01,5.0,-1.0,2.0527638398171644,0.9648241067885569,0.004021366255474668,200,False
2D,0.1,5.0,-1.0,2.0000003159368753,0.9999997893754167,1.438849039914203e-13,72,True
2D,0.5,5.0,-1.0,2.0,1.0,0.0,2,True
2D,0.001,0.0,0.0,0.6598967725243547,0.3299483862621774,2.244845825363301,200,False
2D,0.01,0.0,0.0,1.9648241067885572,0.9824120533942786,0.0015466793290279668,200,False
2D,0.1,0.0,0.0,1.9999996708990886,0.9999998354495443,1.3500311979441904e-13,70,True
2D,0.5,0.0,0.0,2.0,1.0,0.0,2,True
